EXP (ORIGINAL FORM): Exp_pad_128_p0.6 | Samples: 50 | MSE: 731.4575 | PSNR: 19.64 | SSIM: 0.1731 | LPIPS: 0.4400
EXP (ORIGINAL FORM): Exp_pad_128_p0.7 | Samples: 50 | MSE: 727.3583 | PSNR: 19.64 | SSIM: 0.1779 | LPIPS: 0.4361
EXP (ORIGINAL FORM): Exp_pad_128_p0.8 | Samples: 50 | MSE: 732.5224 | PSNR: 19.63 | SSIM: 0.1748 | LPIPS: 0.4422
EXP (ORIGINAL FORM): Exp_pad_128_p0.9 | Samples: 50 | MSE: 785.2863 | PSNR: 19.41 | SSIM: 0.1906 | LPIPS: 0.4402

EXP (ORIGINAL FORM): Exp_pad_256_p0.6 | Samples: 50 | MSE: 739.9742 | PSNR: 19.62 | SSIM: 0.1700 | LPIPS: 0.4405
EXP (ORIGINAL FORM): Exp_pad_256_p0.7 | Samples: 50 | MSE: 765.2401 | PSNR: 19.41 | SSIM: 0.1674 | LPIPS: 0.4373
EXP (ORIGINAL FORM): Exp_pad_256_p0.8 | Samples: 50 | MSE: 766.8553 | PSNR: 19.44 | SSIM: 0.1672 | LPIPS: 0.4469
EXP (ORIGINAL FORM): Exp_pad_256_p0.9 | Samples: 50 | MSE: 862.8394 | PSNR: 19.14 | SSIM: 0.1846 | LPIPS: 0.4369

EXP (ORIGINAL FORM): Exp_interp_128_p0.6 | Samples: 50 | MSE: 846.2820 | PSNR: 19.00 | SSIM: 0.2156 | LPIPS: 0.4379
EXP (ORIGINAL FORM): Exp_interp_128_p0.7 | Samples: 50 | MSE: 876.4981 | PSNR: 18.82 | SSIM: 0.2039 | LPIPS: 0.4454
EXP (ORIGINAL FORM): Exp_interp_128_p0.8 | Samples: 50 | MSE: 877.7545 | PSNR: 18.83 | SSIM: 0.1961 | LPIPS: 0.4506
EXP (ORIGINAL FORM): Exp_interp_128_p0.9 | Samples: 50 | MSE: 939.5933 | PSNR: 18.69 | SSIM: 0.2003 | LPIPS: 0.4644

EXP (ORIGINAL FORM): Exp_interp_256_p0.6 | Samples: 50 | MSE: 889.5422 | PSNR: 18.80 | SSIM: 0.1973 | LPIPS: 0.4488
EXP (ORIGINAL FORM): Exp_interp_256_p0.7 | Samples: 50 | MSE: 903.0865 | PSNR: 18.70 | SSIM: 0.1950 | LPIPS: 0.4475
EXP (ORIGINAL FORM): Exp_interp_256_p0.8 | Samples: 50 | MSE: 901.2460 | PSNR: 18.74 | SSIM: 0.1805 | LPIPS: 0.4565
EXP (ORIGINAL FORM): Exp_interp_256_p0.9 | Samples: 50 | MSE: 1006.0747 | PSNR: 18.39 | SSIM: 0.1952 | LPIPS: 0.4537
