EXP: Exp_pad_128_p0.6 | Samples: 50 | MSE: 18.3755 | PSNR: 26.37 | SSIM: 0.8053 | LPIPS: 0.2143
EXP: Exp_pad_128_p0.7 | Samples: 50 | MSE: 18.2973 | PSNR: 26.39 | SSIM: 0.8064 | LPIPS: 0.2177
EXP: Exp_pad_128_p0.8 | Samples: 50 | MSE: 18.0645 | PSNR: 26.39 | SSIM: 0.8058 | LPIPS: 0.2157
EXP: Exp_pad_128_p0.9 | Samples: 50 | MSE: 17.4704 | PSNR: 26.15 | SSIM: 0.8126 | LPIPS: 0.2023

EXP: Exp_pad_256_p0.6 | Samples: 50 | MSE: 4.6091 | PSNR: 32.37 | SSIM: 0.9535 | LPIPS: 0.0746
EXP: Exp_pad_256_p0.7 | Samples: 50 | MSE: 4.5933 | PSNR: 32.18 | SSIM: 0.9535 | LPIPS: 0.0739
EXP: Exp_pad_256_p0.8 | Samples: 50 | MSE: 4.5427 | PSNR: 32.22 | SSIM: 0.9536 | LPIPS: 0.0752
EXP: Exp_pad_256_p0.9 | Samples: 50 | MSE: 4.3966 | PSNR: 31.90 | SSIM: 0.9552 | LPIPS: 0.0670

EXP: Exp_interp_128_p0.6 | Samples: 50 | MSE: 106.2974 | PSNR: 18.76 | SSIM: 0.1811 | LPIPS: 0.5154
EXP: Exp_interp_128_p0.7 | Samples: 50 | MSE: 106.2913 | PSNR: 18.59 | SSIM: 0.1673 | LPIPS: 0.5150
EXP: Exp_interp_128_p0.8 | Samples: 50 | MSE: 105.3749 | PSNR: 18.59 | SSIM: 0.1688 | LPIPS: 0.5213
EXP: Exp_interp_128_p0.9 | Samples: 50 | MSE: 103.0696 | PSNR: 18.46 | SSIM: 0.1881 | LPIPS: 0.5250


EXP: Exp_interp_256_p0.6 | Samples: 50 | MSE: 107.1819 | PSNR: 18.57 | SSIM: 0.2015 | LPIPS: 0.5571
EXP: Exp_interp_256_p0.7 | Samples: 50 | MSE: 107.4526 | PSNR: 18.48 | SSIM: 0.1981 | LPIPS: 0.5492
EXP: Exp_interp_256_p0.8 | Samples: 50 | MSE: 107.1400 | PSNR: 18.54 | SSIM: 0.1892 | LPIPS: 0.5526
EXP: Exp_interp_256_p0.9 | Samples: 50 | MSE: 102.8042 | PSNR: 18.17 | SSIM: 0.2338 | LPIPS: 0.5593

